도시별,지출목적별,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,08 통신,120.807,118.941,116.799,115.377,113.041,111.406,111.221,110.167,108.396,105.597,105.434,105.324,105.060,105.146,105.425,104.517,102.118,100.00,99.18,100.07
,09 오락 및 문화,96.300,96.260,95.710,93.102,91.028,92.058,94.474,95.255,96.613,97.638,98.880,99.194,98.960,100.611,100.648,101.235,101.088,100.00,100.52,103.53
,10 교육,66.076,68.554,71.521,75.276,80.133,84.389,86.308,88.574,91.549,92.692,93.725,95.620,97.690,100.014,100.886,102.278,103.662,100.00,101.86,102.26
,11 음식 및 숙박,64.433,66.674,68.377,69.699,70.816,74.907,78.371,79.841,84.026,85.092,86.082,87.511,89.334,92.531,94.428,97.654,99.467,100.00,103.01,110.88
,12 기타 상품 및 서비스,61.194,62.255,62.712,65.738,68.298,74.177,79.030,81.462,84.048,83.519,85.366,88.333,91.317,93.815,96.535,96.961,98.267,100.00,101.73,107.96
　　　대구광역시,0 총지수,69.886,71.945,73.796,75.481,77.264,80.979,82.885,85.229,88.766,90.939,92.442,93.769,94.464,95.412,97.358,99.047,99.710,100.00,102.64,108.02
,01 식료품 및 비주류음료,55.358,59.272,60.837,60.933,62.454,65.704,70.332,75.243,81.432,84.829,85.478,86.756,87.940,90.595,93.475,96.809,96.806,100.00,106.01,112.48
,02 주류 및 담배,51.073,51.755,58.972,58.746,58.987,59.242,60.039,60.383,60.921,61.827,62.397,62.433,97.178,97.959,99.403,99.404,99.740,100.00,99.93,101.84
,03 의류 및 신발,67.515,67.680,68.498,70.474,72.403,74.350,78.021,80.306,82.735,86.836,89.376,93.206,94.571,96.239,97.211,98.280,99.024,100.00,100.49,103.65
,"04 주택, 수도, 전기 및 연료",73.759,75.676,77.331,79.664,80.779,83.943,83.054,84.698,88.100,92.067,95.574,98.489,97.881,96.488,97.077,97.806,99.345,100.00,101.18,106.17
,05 가정용품 및 가사 서비스,75.694,75.098,75.134,74.752,75.779,79.253,82.390,82.547,85.450,87.630,88.652,90.828,94.037,95.366,96.038,97.769,99.945,100.00,101.90,107.34
,06 보건,80.395,81.463,83.092,84.664,86.145,87.683,89.462,91.284,92.965,93.481,93.700,94.373,95.870,96.970,97.648,97.838,98.316,100.00,100.10,100.91
,07 교통,81.546,83.813,88.064,92.923,96.211,105.061,101.252,105.771,113.643,116.244,115.179,112.506,101.435,97.575,103.106,106.501,103.697,100.00,107.26,118.55
,08 통신,120.625,118.747,116.536,115.148,112.884,111.254,111.137,109.991,108.250,105.472,105.282,105.161,104.892,104.980,105.281,104.414,102.060,100.00,98.99,99.94
,09 오락 및 문화,94.945,94.252,94.010,92.239,91.002,92.279,94.198,95.076,96.684,96.676,97.809,98.279,98.082,100.105,100.557,101.155,101.036,100.00,100.86,103.70
,10 교육,66.321,69.736,72.160,75.606,79.888,84.176,86.702,87.958,89.806,92.534,94.959,95.917,96.884,98.692,100.471,101.612,102.482,100.00,101.70,104.45
,11 음식 및 숙박,62.855,64.734,65.949,67.158,68.537,72.130,74.746,76.449,80.704,82.481,84.673,86.058,87.920,90.686,92.939,95.866,98.990,100.00,102.58,110.45
,12 기타 상품 및 서비스,61.127,62.251,63.118,66.389,69.344,75.530,80.048,82.012,83.987,82.640,84.210,87.267,90.240,93.046,95.574,96.430,98.043,100.00,102.20,108.36
　　　인천광역시,0 총지수,70.250,72.692,74.541,76.324,78.100,81.945,84.132,86.796,89.761,91.542,92.533,93.832,94.760,95.571,97.383,98.960,99.222,100.00,102.62,107.96
,01 식료품 및 비주류음료,57.516,61.853,62.988,62.993,63.670,67.323,71.864,76.599,82.120,85.696,86.812,86.704,87.909,89.636,92.380,95.678,95.909,100.00,106.26,112.92
,02 주류 및 담배,50.847,51.676,60.088,60.068,60.324,60.669,61.251,61.496,62.070,63.042,63.960,63.865,97.344,97.875,99.047,99.347,100.058,100.00,100.65,102.57
,03 의류 및 신발,69.225,69.456,70.029,71.972,73.910,75.911,79.716,81.931,84.763,88.934,91.332,94.817,95.995,97.730,98.876,99.927,99.382,100.00,100.48,103.59
,"04 주택, 수도, 전기 및 연료",69.137,71.233,72.357,74.841,76.921,80.575,82.010,84.096,87.516,91.141,94.113,97.345,96.656,95.736,96.900,97.721,99.072,100.00,101.56,107.50
,05 가정용품 및 가사 서비스,73.959,74.408,74.560,75.163,77.604,81.631,83.805,83.694,86.944,88.312,88.234,90.511,92.843,94.240,94.963,97.418,99.698,100.00,102.12,107.40
,06 보건,80.409,81.380,83.412,85.151,87.215,88.835,90.984,92.492,93.841,94.737,94.695,95.429,96.585,97.362,98.073,97.715,98.346,100.00,100.23,101.18
,07 교통,76.543,79.164,83.580,87.298,89.937,98.007,93.836,98.633,105.348,109.196,108.928,107.489,100.192,98.144,101.614,103.710,101.687,100.00,106.60,116.65
,08 통신,121.347,119.388,117.111,115.481,113.011,111.342,111.137,110.110,108.248,105.340,105.197,105.116,104.908,104.998,105.334,104.453,102.075,100.00,98.95,99.91
,09 오락 및 문화,94.330,94.604,95.081,93.172,91.769,93.322,95.707,96.603,97.931,98.375,99.181,99.728,98.869,100.748,100.358,100.945,100.682,100.00,100.04,102.52
,10 교육,69.908,73.878,76.829,80.260,84.242,89.460,92.206,94.808,95.891,95.477,95.344,96.598,98.182,99.736,100.490,101.375,100.846,100.00,101.32,101.12
,11 음식 및 숙박,64.060,66.747,68.887,71.345,73.032,76.058,78.722,80.357,82.152,83.579,85.189,86.791,88.809,90.506,93.242,97.008,98.604,100.00,102.36,110.66
,12 기타 상품 및 서비스,61.222,62.095,62.472,65.642,68.942,75.308,80.530,84.330,87.555,84.625,83.273,86.146,89.420,92.967,96.160,96.074,98.066,100.00,102.15,108.70
　　　광주광역시,0 총지수,69.985,72.948,75.166,76.851,78.855,82.595,84.681,87.173,90.726,92.347,93.540,95.041,95.306,96.180,98.191,99.345,99.564,100.00,102.57,107.78
,01 식료품 및 비주류음료,55.310,60.278,62.493,63.041,64.092,67.175,71.887,76.616,83.122,86.210,86.507,87.519,89.142,91.222,94.751,95.732,95.870,100.00,106.33,112.98
,02 주류 및 담배,51.351,52.271,59.771,59.736,60.249,60.618,61.096,60.807,61.248,62.125,63.046,63.047,97.119,97.411,99.522,99.899,100.112,100.00,100.05,103.10
,03 의류 및 신발,67.311,67.174,67.944,69.852,71.699,73.680,77.780,80.228,83.023,86.879,89.500,93.187,94.222,96.036,97.038,98.159,98.824,100.00,100.51,103.36
,"04 주택, 수도, 전기 및 연료",71.479,73.556,76.098,78.431,80.143,83.593,83.878,85.462,89.002,93.014,96.829,99.502,97.797,96.009,97.276,97.703,99.257,100.00,100.91,105.99
,05 가정용품 및 가사 서비스,73.719,74.774,74.933,75.002,77.387,80.241,83.512,84.024,88.407,89.962,89.660,92.175,93.845,95.657,96.484,98.340,100.189,100.00,101.98,106.93
,06 보건,81.489,82.797,84.479,85.760,86.760,88.344,90.090,91.856,93.304,94.197,94.831,95.782,96.888,97.542,98.307,98.208,98.465,100.00,99.91,100.79
,07 교통,79.731,82.992,86.394,90.051,93.838,102.700,98.762,103.427,111.348,114.018,113.333,111.091,100.795,98.001,102.024,104.744,102.458,100.00,106.18,116.58
,08 통신,120.667,118.768,116.585,115.253,113.028,111.377,111.250,110.198,108.417,105.627,105.470,105.369,105.112,105.192,105.460,104.540,102.136,100.00,98.88,99.86
,09 오락 및 문화,94.537,94.552,94.404,92.154,90.226,91.461,93.625,94.585,95.996,96.217,97.390,98.093,98.459,99.956,100.133,100.547,100.621,100.00,100.44,103.37
,10 교육,66.545,72.082,74.888,78.283,83.957,88.962,90.890,92.934,94.072,94.939,97.768,99.230,100.497,101.538,102.858,103.688,103.770,100.00,101.38,103.44
,11 음식 및 숙박,65.173,68.279,70.322,71.599,73.018,76.575,79.564,81.023,83.650,85.243,85.471,88.401,89.699,92.781,94.729,97.351,98.472,100.00,103.16,110.37
,12 기타 상품 및 서비스,60.795,62.153,62.707,66.130,69.772,75.532,80.376,83.768,87.529,83.105,83.791,87.174,89.211,93.115,96.464,96.932,98.261,100.00,101.77,107.60
　　　대전광역시,0 총지수,70.941,73.648,75.800,77.733,79.641,83.393,85.288,87.896,91.837,93.669,94.592,95.459,95.648,96.297,97.894,99.412,99.622,100.00,102.50,107.52
,01 식료품 및 비주류음료,54.633,59.851,61.549,61.867,63.334,66.806,71.535,76.058,82.530,86.231,86.178,86.183,86.848,88.965,92.294,94.858,95.655,100.00,106.24,112.22
,02 주류 및 담배,51.132,51.786,59.979,60.049,60.334,60.778,61.373,61.668,61.864,62.737,64.000,64.184,96.149,97.085,98.486,98.702,99.008,100.00,100.18,102.86
,03 의류 및 신발,68.909,69.030,69.659,71.698,73.591,75.489,79.420,81.761,84.534,88.683,91.265,94.901,95.821,97.543,98.612,99.949,99.480,100.00,100.56,104.07
,"04 주택, 수도, 전기 및 연료",72.584,75.510,77.573,79.990,81.102,84.445,84.244,86.884,91.372,95.159,97.875,100.351,98.442,96.155,96.976,98.095,99.192,100.00,101.49,106.26
,05 가정용품 및 가사 서비스,75.100,74.986,75.827,75.625,77.507,80.458,83.572,83.471,87.777,90.054,90.312,91.948,95.019,96.129,96.969,98.440,100.025,100.00,101.99,107.14
,06 보건,82.148,83.507,85.169,86.951,88.293,89.584,90.826,92.139,93.575,94.597,94.843,95.654,96.914,97.933,98.434,98.505,99.036,100.00,99.57,100.04
,07 교통,80.297,83.127,86.880,91.948,94.749,103.112,98.847,103.682,111.917,114.950,113.885,111.147,101.315,98.909,102.358,104.577,102.367,100.00,106.82,117.22
,08 통신,120.198,118.255,116.206,114.977,112.866,111.249,111.162,110.064,108.305,105.499,105.394,105.369,105.230,105.311,105.589,104.633,102.195,100.00,99.69,100.45
,09 오락 및 문화,93.805,94.115,94.489,92.197,91.552,92.450,94.143,95.442,97.064,97.906,98.529,98.971,98.860,100.581,100.924,101.237,101.041,100.00,100.38,103.36
,10 교육,70.097,73.196,75.739,78.894,84.126,88.146,91.119,93.272,94.539,95.779,96.381,96.798,98.519,99.650,100.484,101.993,102.993,100.00,100.34,101.91
,11 음식 및 숙박,65.302,67.637,70.138,71.961,73.276,77.601,79.909,82.020,86.791,87.500,89.166,90.239,92.261,94.509,95.843,98.861,99.210,100.00,102.66,110.63
,12 기타 상품 및 서비스,63.200,64.349,65.896,70.497,74.072,80.699,85.376,87.545,90.157,84.467,85.363,87.597,89.975,93.296,95.851,96.799,97.928,100.00,102.15,107.92
　　　울산광역시,0 총지수,69.927,72.596,74.823,76.875,79.064,83.180,85.113,87.815,91.313,93.272,94.688,95.812,96.251,97.205,99.006,100.026,99.705,100.00,102.49,107.57
,01 식료품 및 비주류음료,54.372,58.608,60.827,61.583,63.494,67.093,71.047,75.764,82.400,85.949,87.181,88.238,89.550,91.855,94.687,96.072,95.361,100.00,106.17,112.10
,02 주류 및 담배,51.742,52.685,59.655,59.392,59.630,60.038,60.794,61.171,61.793,62.746,63.717,63.874,96.924,97.511,98.744,99.388,99.763,100.00,100.22,102.94
,03 의류 및 신발,69.011,69.362,69.943,71.831,73.800,75.578,79.383,81.779,84.730,88.995,91.583,95.425,96.282,97.912,99.061,100.000,99.634,100.00,100.64,104.01
,"04 주택, 수도, 전기 및 연료",70.366,73.854,75.889,79.600,82.376,87.294,87.673,90.262,93.594,98.165,101.371,104.208,102.505,100.572,101.057,100.777,100.182,100.00,101.30,107.06
,05 가정용품 및 가사 서비스,72.143,72.725,72.945,73.522,75.850,79.412,82.299,82.165,85.506,87.054,88.289,90.830,92.500,94.475,95.926,97.949,99.725,100.00,101.88,106.43
,06 보건,79.298,80.768,82.619,84.189,85.703,86.791,88.078,89.634,92.069,92.921,93.035,94.327,96.350,97.561,98.432,98.310,98.698,100.00,100.10,100.81
,07 교통,80.194,82.560,86.253,90.810,93.843,102.705,98.529,103.250,110.022,113.050,112.268,110.140,100.790,98.481,101.835,103.977,101.850,100.00,104.98,113.58
,08 통신,120.444,118.478,116.364,114.783,112.398,110.758,110.574,109.468,107.754,104.971,104.894,104.901,104.824,104.922,105.260,104.398,102.042,100.00,98.92,99.89
,09 오락 및 문화,95.176,95.848,95.784,93.820,92.048,93.046,95.337,96.630,97.854,98.096,99.043,99.183,98.774,100.536,100.422,101.211,101.033,100.00,100.27,103.66
,10 교육,69.612,73.741,78.142,81.873,86.795,91.992,93.021,94.707,95.394,96.097,97.182,98.040,99.711,101.502,102.740,103.487,103.594,100.00,99.99,101.64
,11 음식 및 숙박,65.469,67.036,68.389,69.529,70.902,74.430,77.753,79.546,83.186,85.028,87.993,88.950,91.347,93.762,96.449,98.580,99.132,100.00,102.91,110.18
,12 기타 상품 및 서비스,60.892,62.720,63.364,66.754,70.133,76.433,81.698,85.117,88.783,86.137,86.536,88.513,90.775,94.088,96.709,97.278,98.636,100.00,102.40,108.04
　　　세종특별자치시,0 총지수,-,-,-,-,-,-,-,-,-,-,-,-,95.626,96.311,98.205,99.232,99.566,100.00,102.71,108.23
,01 식료품 및 비주류음료,-,-,-,-,-,-,-,-,-,-,-,-,88.898,91.031,94.482,96.533,96.714,100.00,104.50,110.67
,02 주류 및 담배,-,-,-,-,-,-,-,-,-,-,-,-,96.818,97.365,99.183,99.364,99.544,100.00,100.28,103.61
,03 의류 및 신발,-,-,-,-,-,-,-,-,-,-,-,-,95.989,97.860,99.029,100.076,99.389,100.00,100.65,104.05
,"04 주택, 수도, 전기 및 연료",-,-,-,-,-,-,-,-,-,-,-,-,95.527,94.150,95.868,96.390,98.222,100.00,104.50,112.70
,05 가정용품 및 가사 서비스,-,-,-,-,-,-,-,-,-,-,-,-,95.481,95.788,96.734,98.371,100.064,100.00,101.63,105.88
,06 보건,-,-,-,-,-,-,-,-,-,-,-,-,97.280,98.022,98.734,98.376,98.820,100.00,99.48,100.22
