도시별,지출목적별,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,11 음식 및 숙박,68.036,70.594,72.614,73.661,74.932,79.313,82.133,80.917,82.927,83.566,85.011,86.535,88.756,91.105,92.952,96.995,98.968,100.00,101.94,109.91
,12 기타 상품 및 서비스,63.186,64.859,64.738,68.622,72.198,78.860,84.304,87.625,90.866,86.901,86.347,88.866,90.614,93.449,96.311,96.474,98.059,100.00,102.36,108.69
　　　　　　의정부시,0 총지수,69.308,72.167,73.715,75.282,77.063,80.884,83.477,86.493,89.852,91.503,93.172,94.204,94.536,95.578,97.395,98.980,99.456,100.00,102.75,108.29
,01 식료품 및 비주류음료,52.643,57.753,58.823,59.063,60.597,63.759,69.381,75.674,82.674,85.076,87.744,87.603,88.798,90.728,93.417,95.479,95.418,100.00,106.97,114.96
,02 주류 및 담배,52.218,52.230,59.928,59.754,59.953,60.397,61.196,61.496,62.029,63.145,64.781,64.872,95.523,96.127,98.103,98.990,99.883,100.00,100.38,102.78
,03 의류 및 신발,69.678,69.953,70.328,71.986,73.990,76.147,80.026,82.085,84.917,89.006,91.709,95.321,96.371,97.986,98.865,100.122,99.970,100.00,100.52,103.72
,"04 주택, 수도, 전기 및 연료",71.123,73.235,73.834,74.966,75.938,80.054,82.650,84.833,87.668,91.395,95.103,97.443,96.538,96.283,97.825,98.809,99.505,100.00,101.42,106.71
,05 가정용품 및 가사 서비스,75.480,75.049,75.001,75.288,76.375,79.294,83.369,83.369,87.044,88.850,88.966,92.116,94.065,95.126,95.786,97.818,99.744,100.00,101.76,106.43
,06 보건,79.526,81.239,83.436,84.840,86.878,88.192,90.354,92.038,93.173,94.004,94.109,94.548,96.120,97.125,97.992,98.183,98.608,100.00,99.87,100.86
,07 교통,75.271,78.572,82.627,86.393,89.278,97.699,93.898,99.377,106.574,110.639,109.569,107.324,98.925,97.049,100.443,102.806,100.988,100.00,106.62,116.38
,08 통신,121.720,119.655,117.414,115.653,113.109,111.388,111.260,110.107,108.362,105.490,105.323,105.220,104.983,105.066,105.351,104.461,102.093,100.00,99.16,100.06
,09 오락 및 문화,93.764,94.397,94.748,92.766,90.958,92.000,94.630,95.853,97.675,97.849,98.840,99.175,98.868,100.672,100.715,101.180,101.097,100.00,100.45,103.50
,10 교육,65.625,69.507,71.374,75.592,79.531,84.159,86.200,88.145,88.931,89.240,92.406,93.496,94.577,97.312,97.793,100.187,100.930,100.00,101.65,104.58
,11 음식 및 숙박,65.090,68.529,70.513,71.829,73.374,76.564,79.549,81.120,84.925,85.856,86.607,87.840,89.040,90.929,94.199,97.549,100.092,100.00,103.22,111.88
,12 기타 상품 및 서비스,59.832,61.402,62.186,65.581,69.800,76.288,80.999,85.916,89.030,85.299,85.268,87.925,90.166,93.418,95.558,95.753,98.244,100.00,102.28,107.97
　　　　　　안양시,0 총지수,70.129,72.343,74.494,76.430,78.392,81.912,84.091,86.494,89.918,91.833,92.807,93.968,94.566,95.359,97.309,98.617,99.301,100.00,102.54,107.62
,01 식료품 및 비주류음료,56.364,60.712,62.800,63.119,64.087,66.704,71.147,76.177,81.484,85.090,85.554,86.039,87.821,89.806,92.654,94.254,95.653,100.00,105.88,112.45
,02 주류 및 담배,52.565,53.000,60.773,60.692,61.021,61.446,62.262,62.363,62.514,63.423,64.728,64.640,95.429,95.696,97.965,98.258,99.288,100.00,100.50,102.46
,03 의류 및 신발,68.384,68.637,69.311,70.957,72.887,74.683,78.143,80.527,83.104,86.994,89.206,92.786,94.193,96.012,97.097,98.137,98.906,100.00,100.52,103.65
,"04 주택, 수도, 전기 및 연료",68.838,70.076,71.485,74.451,76.650,79.491,81.082,82.609,86.429,90.497,93.475,95.990,95.884,94.811,96.844,97.379,98.970,100.00,102.70,108.40
,05 가정용품 및 가사 서비스,73.158,73.517,74.206,73.712,75.857,79.740,82.831,82.887,85.159,86.112,87.588,89.505,92.538,94.420,94.949,97.467,99.371,100.00,101.57,106.22
,06 보건,79.193,80.005,81.879,83.352,84.464,87.521,90.475,91.813,93.397,94.285,94.453,94.985,96.418,97.439,98.268,98.187,98.224,100.00,99.74,100.46
,07 교통,76.053,78.847,82.947,86.507,89.520,98.312,94.670,100.123,106.698,110.309,109.521,107.366,98.799,96.934,100.394,103.037,101.320,100.00,105.48,115.31
,08 통신,121.426,119.443,117.341,115.572,113.049,111.397,111.192,110.171,108.373,105.491,105.324,105.222,104.991,105.074,105.358,104.467,102.097,100.00,99.16,100.06
,09 오락 및 문화,96.111,95.887,96.232,94.147,92.262,93.634,96.264,97.186,99.065,98.845,99.778,100.335,99.790,101.325,101.301,101.454,100.995,100.00,100.35,103.17
,10 교육,66.125,69.755,72.704,76.744,81.784,84.861,86.369,87.897,90.958,92.707,93.446,94.797,96.015,98.034,99.767,102.492,102.793,100.00,100.74,102.93
,11 음식 및 숙박,67.848,70.160,72.524,74.077,75.069,78.519,81.849,82.987,86.651,87.584,88.235,89.988,91.140,92.829,95.122,96.899,98.972,100.00,102.60,109.48
,12 기타 상품 및 서비스,62.303,63.941,65.463,69.837,74.180,80.944,86.114,89.140,91.740,86.822,86.509,88.000,90.245,92.845,95.366,96.559,97.970,100.00,102.79,108.46
　　　　　　부천시,0 총지수,70.559,72.780,74.969,76.762,78.411,82.060,84.252,86.750,89.982,91.831,92.962,93.988,94.572,95.525,97.668,98.881,99.400,100.00,102.34,107.49
,01 식료품 및 비주류음료,54.074,57.864,60.638,60.855,61.790,64.751,69.355,74.303,80.922,83.949,84.853,85.211,86.948,89.145,92.738,94.930,95.593,100.00,105.12,112.22
,02 주류 및 담배,53.384,54.032,61.821,61.646,61.934,62.305,62.846,63.052,63.220,63.928,64.901,64.708,95.834,96.730,98.390,98.495,99.341,100.00,100.87,103.27
,03 의류 및 신발,69.441,69.378,70.222,72.106,73.908,75.933,79.655,81.961,84.761,88.954,91.376,94.979,96.226,97.848,98.873,99.924,99.922,100.00,100.53,103.57
,"04 주택, 수도, 전기 및 연료",70.554,72.137,73.114,75.186,76.917,79.549,81.280,82.987,86.231,90.262,93.546,95.452,95.349,94.928,97.834,98.129,99.277,100.00,101.67,105.93
,05 가정용품 및 가사 서비스,76.178,76.080,76.429,76.569,78.269,81.078,84.663,85.338,87.855,88.994,89.125,91.263,92.814,94.802,95.995,97.694,100.231,100.00,101.91,106.32
,06 보건,79.890,81.385,83.177,85.034,86.267,87.730,89.531,91.458,92.776,93.417,93.753,94.475,95.486,96.349,97.301,97.418,97.980,100.00,99.69,100.21
,07 교통,76.171,79.248,83.564,87.115,89.705,97.414,94.141,99.546,106.832,111.242,110.432,108.351,99.678,97.821,101.292,103.644,101.325,100.00,106.86,117.63
,08 통신,121.497,119.579,117.346,115.664,113.082,111.411,111.196,110.175,108.377,105.499,105.320,105.214,104.983,105.066,105.351,104.461,102.093,100.00,99.16,100.06
,09 오락 및 문화,97.136,97.096,96.999,94.607,92.570,94.074,96.846,97.427,98.288,98.467,99.475,100.174,99.707,101.472,101.446,101.707,101.246,100.00,100.15,103.16
,10 교육,66.044,69.503,72.680,77.375,81.021,86.128,87.818,90.010,92.740,94.215,94.897,95.527,96.536,97.412,98.281,99.379,100.993,100.00,100.25,100.49
,11 음식 및 숙박,69.991,72.722,74.838,75.836,76.827,80.363,82.988,84.004,85.516,85.523,86.906,88.922,90.783,93.272,95.618,98.234,99.792,100.00,102.65,111.80
,12 기타 상품 및 서비스,62.550,63.309,63.888,68.072,72.443,80.392,85.535,88.011,90.644,87.204,86.584,88.252,90.893,93.696,95.977,96.411,98.053,100.00,102.33,108.66
　　　　　　고양시,0 총지수,70.238,72.713,74.701,76.332,78.200,82.060,84.475,86.892,90.165,91.765,92.751,93.812,94.586,95.577,97.798,99.169,99.274,100.00,102.58,107.60
,01 식료품 및 비주류음료,56.262,60.394,62.679,63.572,64.549,67.563,73.643,77.930,84.496,86.691,87.113,87.857,88.837,91.320,95.304,97.333,95.070,100.00,106.36,111.99
,02 주류 및 담배,52.340,53.322,61.177,60.841,60.984,61.407,62.217,62.589,62.855,63.899,65.229,65.262,96.379,97.039,98.911,99.258,99.859,100.00,100.29,102.56
,03 의류 및 신발,69.753,69.480,70.330,72.305,74.286,76.191,79.919,81.789,84.591,88.817,91.308,94.949,96.082,97.962,99.093,99.837,99.191,100.00,100.43,103.63
,"04 주택, 수도, 전기 및 연료",68.340,70.134,70.816,72.421,74.245,77.980,79.780,81.538,84.501,87.505,89.901,92.623,93.777,93.794,96.473,97.660,98.988,100.00,101.53,107.44
,05 가정용품 및 가사 서비스,74.829,75.133,75.379,75.568,77.238,80.887,84.832,84.674,88.273,90.059,90.148,91.357,93.833,95.155,96.312,98.173,99.800,100.00,102.24,106.90
,06 보건,79.358,80.953,83.153,84.802,86.375,88.413,90.554,92.625,93.991,94.818,94.981,95.215,96.461,96.871,97.808,97.966,98.543,100.00,100.34,101.35
,07 교통,77.030,79.925,84.423,87.989,91.056,99.046,94.840,100.038,107.015,111.518,110.530,108.368,99.582,97.325,100.521,103.494,101.319,100.00,106.61,116.56
,08 통신,121.501,119.540,117.323,115.573,113.011,111.359,111.183,110.163,108.374,105.483,105.316,105.213,104.983,105.066,105.351,104.461,102.093,100.00,99.16,100.06
,09 오락 및 문화,96.872,96.684,96.758,94.379,92.686,93.952,96.540,97.661,99.020,98.563,99.505,100.105,99.612,101.199,101.248,101.325,100.987,100.00,100.52,103.29
,10 교육,64.110,67.678,70.314,74.111,78.465,84.453,86.563,89.005,90.421,91.238,93.262,94.217,95.711,97.615,99.604,101.344,101.792,100.00,101.12,102.59
,11 음식 및 숙박,68.951,72.468,74.200,75.133,76.623,79.041,81.538,82.874,86.030,87.300,88.447,89.201,91.162,92.691,94.835,97.009,99.423,100.00,102.41,109.52
,12 기타 상품 및 서비스,62.952,64.814,66.028,69.071,72.906,80.317,85.604,88.342,91.582,87.312,86.334,88.251,90.298,94.104,96.381,96.338,97.927,100.00,102.13,108.43
　　　　　　안산시,0 총지수,-,-,73.968,76.026,77.999,81.728,84.045,86.343,89.862,91.804,92.875,94.190,94.962,96.003,97.726,99.081,99.673,100.00,102.54,107.61
,01 식료품 및 비주류음료,-,-,60.854,62.522,63.557,66.523,71.132,75.212,83.041,85.172,86.552,86.823,88.591,90.761,93.359,96.393,97.708,100.00,106.36,112.77
,02 주류 및 담배,-,-,60.577,60.400,60.875,61.284,61.930,62.188,62.789,63.772,64.985,65.160,96.162,97.111,98.428,98.526,99.616,100.00,100.79,102.52
,03 의류 및 신발,-,-,70.261,71.871,73.798,76.011,79.899,81.895,84.489,88.680,91.215,94.812,95.909,97.904,99.121,100.125,99.278,100.00,100.51,103.70
,"04 주택, 수도, 전기 및 연료",-,-,72.477,74.421,76.384,79.983,81.868,83.047,86.561,90.949,94.335,96.796,97.395,97.241,98.847,98.779,99.760,100.00,101.99,107.23
,05 가정용품 및 가사 서비스,-,-,71.613,72.430,75.062,78.630,81.931,81.954,86.222,87.902,88.110,90.874,93.433,95.074,96.376,97.856,99.666,100.00,101.63,106.00
,06 보건,-,-,84.504,85.737,86.970,88.124,90.039,91.357,92.940,93.603,93.887,94.866,96.023,96.999,97.850,97.891,98.553,100.00,100.09,100.72
,07 교통,-,-,82.779,87.035,90.229,98.906,94.747,99.650,106.476,110.555,109.648,107.849,99.156,97.166,100.450,102.701,100.964,100.00,106.05,116.11
,08 통신,-,-,117.341,115.582,113.020,111.407,111.192,110.172,108.373,105.491,105.323,105.221,104.983,105.066,105.351,104.461,102.093,100.00,99.16,100.06
,09 오락 및 문화,-,-,95.513,93.013,91.398,93.077,95.879,96.779,97.755,97.916,98.972,99.323,98.803,100.716,100.668,101.176,100.900,100.00,100.29,102.98
,10 교육,-,-,71.067,74.786,79.950,84.551,86.908,88.731,89.907,91.572,92.684,95.061,96.999,99.290,99.597,100.637,101.885,100.00,100.47,101.90
,11 음식 및 숙박,-,-,72.190,73.411,74.873,77.832,80.949,83.016,86.379,87.605,87.308,88.788,90.385,91.986,94.815,97.706,99.224,100.00,102.55,110.38
,12 기타 상품 및 서비스,-,-,62.761,68.196,71.276,77.768,83.218,86.615,88.831,85.346,85.003,87.055,88.848,91.908,93.494,95.044,97.606,100.00,102.74,109.17
　　　　　　용인시,0 총지수,-,-,-,-,-,-,-,-,-,-,-,-,94.858,95.861,97.659,99.297,99.455,100.00,102.86,108.00
,01 식료품 및 비주류음료,-,-,-,-,-,-,-,-,-,-,-,-,88.021,89.781,92.485,95.571,95.094,100.00,107.44,114.00
,02 주류 및 담배,-,-,-,-,-,-,-,-,-,-,-,-,96.402,96.992,98.395,99.060,99.901,100.00,100.00,101.13
,03 의류 및 신발,-,-,-,-,-,-,-,-,-,-,-,-,94.455,96.124,97.426,98.394,98.994,100.00,100.39,103.49
,"04 주택, 수도, 전기 및 연료",-,-,-,-,-,-,-,-,-,-,-,-,96.789,96.585,98.272,98.909,99.632,100.00,102.12,107.42
,05 가정용품 및 가사 서비스,-,-,-,-,-,-,-,-,-,-,-,-,93.544,95.334,95.913,98.225,100.187,100.00,101.53,106.25
,06 보건,-,-,-,-,-,-,-,-,-,-,-,-,95.276,96.866,98.256,98.373,98.596,100.00,100.13,100.90
,07 교통,-,-,-,-,-,-,-,-,-,-,-,-,99.482,97.788,101.031,103.411,101.626,100.00,106.21,116.93
,08 통신,-,-,-,-,-,-,-,-,-,-,-,-,104.991,105.074,105.358,104.467,102.097,100.00,99.16,100.06
,09 오락 및 문화,-,-,-,-,-,-,-,-,-,-,-,-,99.390,101.081,100.973,101.614,101.218,100.00,100.47,103.51
,10 교육,-,-,-,-,-,-,-,-,-,-,-,-,99.156,100.180,101.290,102.819,102.442,100.00,100.95,102.20
,11 음식 및 숙박,-,-,-,-,-,-,-,-,-,-,-,-,89.651,91.936,94.257,97.703,99.375,100.00,103.46,111.02
,12 기타 상품 및 서비스,-,-,-,-,-,-,-,-,-,-,-,-,89.777,93.148,95.199,96.082,97.532,100.00,102.15,108.27
　　　　　　화성시,0 총지수,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,102.50,107.74
,01 식료품 및 비주류음료,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,106.49,112.36
,02 주류 및 담배,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,100.81,103.33
,03 의류 및 신발,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,100.69,103.60
,"04 주택, 수도, 전기 및 연료",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,101.24,106.57
,05 가정용품 및 가사 서비스,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,101.36,106.33
,06 보건,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,99.79,100.74
,07 교통,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,106.50,117.05
,08 통신,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,99.16,100.06
,09 오락 및 문화,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,100.58,103.29
,10 교육,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,100.38,102.33
,11 음식 및 숙박,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,103.53,111.95
,12 기타 상품 및 서비스,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,101.22,107.68
　　　강원도,0 총지수,70.049,72.745,75.324,77.038,78.833,83.026,84.602,87.156,90.933,92.692,93.697,94.334,94.369,95.110,97.013,98.557,99.384,100.00,102.80,108.98
,01 식료품 및 비주류음료,55.524,59.451,61.394,61.717,63.467,66.736,71.043,75.273,81.779,85.572,86.585,86.390,87.787,89.687,92.645,94.782,95.561,100.00,106.43,113.45
,02 주류 및 담배,52.406,53.113,60.022,59.992,60.323,60.758,61.278,61.708,62.248,63.221,64.380,64.436,96.977,97.623,98.702,98.894,99.737,100.00,100.19,102.15
,03 의류 및 신발,68.223,68.347,68.968,70.847,72.790,74.727,78.545,80.878,83.406,87.349,90.137,93.633,94.740,96.567,97.608,98.942,99.877,100.00,100.52,103.67
,"04 주택, 수도, 전기 및 연료",71.728,74.792,78.275,80.988,82.025,87.444,84.725,87.444,91.853,94.980,97.641,99.100,96.342,94.848,96.276,97.959,99.826,100.00,102.33,111.27
,05 가정용품 및 가사 서비스,71.426,72.202,72.712,72.590,73.644,76.407,80.570,80.971,82.981,88.725,89.510,91.058,92.698,94.281,95.986,98.242,99.639,100.00,102.08,107.50
,06 보건,80.147,81.751,83.487,85.338,86.556,88.421,90.334,92.304,93.958,94.798,95.273,95.793,96.793,97.604,98.564,98.342,98.679,100.00,99.89,100.79
,07 교통,79.412,81.569,86.197,90.041,92.742,101.628,97.260,102.511,109.687,112.257,111.645,109.601,99.757,97.109,100.349,102.577,101.702,100.00,107.90,121.15
,08 통신,120.740,118.904,116.735,115.197,112.815,111.170,110.985,109.970,108.239,105.519,105.380,105.253,104.951,105.046,105.422,104.519,102.122,100.00,98.96,99.92
,09 오락 및 문화,93.880,94.729,94.948,93.089,91.744,92.757,94.307,94.933,96.863,97.361,98.528,98.602,97.795,99.818,99.921,100.631,100.733,100.00,100.41,103.21
,10 교육,69.138,73.809,77.557,80.969,85.434,90.139,92.523,94.487,95.353,95.519,96.380,97.233,98.673,99.979,101.004,102.154,102.852,100.00,99.72,101.20
,11 음식 및 숙박,64.812,67.630,69.569,70.700,72.260,76.382,78.817,80.334,85.168,85.437,85.635,86.786,88.397,90.724,93.423,96.103,98.743,100.00,102.31,110.25
,12 기타 상품 및 서비스,58.583,60.389,61.740,65.599,69.076,76.072,81.329,84.037,86.671,83.949,85.349,87.453,89.449,92.993,95.141,95.932,97.527,100.00,102.82,109.28
　　　　　　춘천시,0 총지수,70.630,73.130,75.453,77.163,78.930,82.854,84.683,87.564,91.556,93.364,94.229,94.961,94.905,95.599,97.275,98.637,99.488,100.00,102.76,108.86
,01 식료품 및 비주류음료,57.735,61.712,62.819,62.818,65.557,68.881,73.362,77.960,84.262,87.781,88.611,88.635,89.517,91.732,94.763,95.737,96.108,100.00,106.15,113.05
,02 주류 및 담배,53.090,53.439,60.527,60.356,60.744,61.183,61.627,62.080,62.722,63.803,64.891,64.764,97.295,97.980,98.887,98.832,99.592,100.00,99.98,102.24
,03 의류 및 신발,67.831,68.258,68.879,70.624,72.455,74.539,78.460,80.860,83.569,87.761,90.185,93.638,94.882,96.640,97.830,98.965,99.742,100.00,100.48,103.53
,"04 주택, 수도, 전기 및 연료",72.524,74.629,76.915,79.838,79.889,84.235,82.306,85.017,89.856,93.413,96.191,97.959,94.638,92.726,94.051,96.512,99.155,100.00,102.11,110.27
,05 가정용품 및 가사 서비스,73.718,74.447,75.114,74.701,75.258,77.856,82.219,83.039,85.544,88.908,89.381,91.241,93.477,94.970,97.042,98.764,100.489,100.00,102.30,107.90
,06 보건,78.488,80.467,82.184,84.451,85.958,87.356,89.801,92.143,94.393,95.553,96.011,96.259,97.358,98.046,99.096,98.536,98.752,100.00,99.62,100.57
,07 교통,78.734,81.035,85.466,89.340,92.196,101.092,96.640,101.859,108.956,111.707,111.229,109.140,99.175,96.670,99.879,102.021,101.423,100.00,108.16,121.48
,08 통신,120.820,118.959,116.825,115.286,112.911,111.246,111.071,110.055,108.323,105.600,105.393,105.256,104.951,105.046,105.422,104.519,102.122,100.00,98.96,99.92
,09 오락 및 문화,93.772,94.630,94.944,92.997,91.874,92.238,93.306,94.247,95.920,96.414,97.734,98.164,97.376,99.278,99.476,100.358,100.865,100.00,100.54,103.20
,10 교육,68.261,71.363,76.316,79.770,83.490,88.749,91.770,94.385,95.903,96.368,96.757,97.724,99.958,101.252,102.174,102.805,103.335,100.00,99.84,100.49
,11 음식 및 숙박,65.247,69.008,70.701,71.856,73.429,77.122,79.484,81.752,87.380,88.047,88.203,89.605,91.203,93.563,94.578,96.981,99.097,100.00,102.21,110.80
,12 기타 상품 및 서비스,59.083,61.400,62.855,66.610,70.250,76.603,82.694,85.718,87.997,85.471,85.609,87.348,89.670,93.041,94.950,96.139,97.784,100.00,103.31,109.89
　　　　　　원주시,0 총지수,70.519,73.364,75.955,77.709,79.443,83.450,84.969,87.413,91.113,92.859,93.970,94.635,94.593,95.308,97.079,98.620,99.349,100.00,102.86,108.85
,01 식료품 및 비주류음료,56.302,60.215,62.170,61.916,62.998,65.957,69.811,74.509,81.557,85.052,86.367,86.224,87.764,89.196,91.530,94.095,95.199,100.00,107.01,113.39
,02 주류 및 담배,52.478,53.333,59.996,60.050,60.160,60.655,61.280,61.735,61.982,62.922,64.428,64.732,97.132,97.627,98.790,99.069,99.851,100.00,100.33,102.32
,03 의류 및 신발,68.490,68.495,69.125,70.883,73.010,74.894,78.587,80.845,83.345,87.126,90.188,93.737,94.494,96.519,97.569,98.915,99.781,100.00,100.59,103.66
,"04 주택, 수도, 전기 및 연료",73.359,76.373,80.012,82.532,83.778,88.212,86.265,88.292,92.287,95.283,98.223,99.862,97.466,96.295,97.632,98.824,100.193,100.00,102.15,111.14
,05 가정용품 및 가사 서비스,68.353,69.115,69.733,69.651,71.069,74.080,78.008,78.270,80.083,88.165,89.352,91.117,92.408,93.997,95.327,98.205,99.380,100.00,101.93,107.73
,06 보건,81.823,83.294,85.050,86.567,87.680,89.289,90.799,92.714,94.158,94.739,94.983,95.839,96.744,97.569,98.354,98.319,98.698,100.00,100.08,100.93
,07 교통,79.947,82.071,86.799,90.798,93.561,102.277,97.691,102.898,110.212,112.845,112.205,110.343,100.509,97.406,100.709,102.916,101.883,100.00,107.77,121.03
,08 통신,120.555,118.685,116.587,115.053,112.711,111.059,110.913,109.851,108.158,105.404,105.366,105.264,104.951,105.046,105.422,104.519,102.122,100.00,98.96,99.92
,09 오락 및 문화,94.185,94.612,94.572,93.287,91.892,93.335,95.565,96.101,97.839,98.173,99.564,99.322,98.412,100.419,100.212,100.724,100.650,100.00,100.27,103.09
,10 교육,68.942,76.351,79.854,84.592,89.496,94.114,95.778,97.292,97.908,97.140,97.957,98.132,98.889,100.168,100.710,101.811,102.190,100.00,99.99,101.23
,11 음식 및 숙박,65.443,67.973,70.109,71.202,72.925,77.489,79.967,81.287,85.358,85.840,86.049,86.908,88.073,90.486,93.619,96.284,99.022,100.00,102.26,109.35
,12 기타 상품 및 서비스,59.749,60.296,61.698,65.940,69.015,75.601,80.799,83.497,86.830,84.194,85.097,87.709,89.741,93.772,95.711,95.967,97.072,100.00,102.60,109.27
　　　　　　강릉시,0 총지수,68.807,71.535,74.327,76.018,77.870,82.558,83.940,86.268,89.834,91.596,92.642,93.112,93.355,94.195,96.583,98.368,99.309,100.00,102.75,109.32
,01 식료품 및 비주류음료,52.229,56.105,58.846,60.180,61.617,65.167,69.865,73.095,79.065,83.666,84.461,83.920,85.745,87.947,91.736,94.659,95.434,100.00,105.86,114.05
,02 주류 및 담배,51.615,52.561,59.516,59.526,60.051,60.468,60.895,61.327,62.109,62.992,63.771,63.705,96.333,97.163,98.326,98.704,99.734,100.00,100.22,101.79
,03 의류 및 신발,68.324,68.313,68.888,71.007,72.849,74.704,78.561,80.928,83.247,87.156,90.014,93.485,94.919,96.538,97.380,98.935,100.187,100.00,100.44,103.84
,"04 주택, 수도, 전기 및 연료",69.185,73.348,77.787,80.516,82.467,90.305,85.812,89.340,93.747,96.480,98.593,99.362,96.862,95.440,97.126,98.558,100.165,100.00,102.87,112.66
,05 가정용품 및 가사 서비스,73.020,73.841,74.057,74.304,75.421,77.982,82.302,82.351,84.025,89.345,89.965,90.772,92.175,93.855,95.666,97.636,98.971,100.00,102.06,106.64
,06 보건,79.980,81.341,83.112,84.864,85.876,88.564,90.364,91.916,93.095,93.930,94.745,95.151,96.156,97.105,98.212,98.126,98.555,100.00,99.93,100.84
,07 교통,79.590,81.629,86.414,89.993,92.441,101.564,97.531,102.821,109.925,112.220,111.471,109.211,99.429,97.274,100.457,102.832,101.803,100.00,107.78,120.92
,08 통신,120.745,118.852,116.818,115.270,112.885,111.231,111.056,110.040,108.307,105.585,105.385,105.254,104.951,105.046,105.422,104.519,102.122,100.00,98.96,99.92
,09 오락 및 문화,93.543,94.838,95.214,92.754,91.238,92.428,93.730,94.079,96.659,97.388,98.053,98.100,97.410,99.611,100.039,100.834,100.695,100.00,100.47,103.42
,10 교육,69.914,73.275,75.931,77.759,82.562,86.713,89.168,90.839,91.210,92.287,93.771,95.386,96.763,98.120,99.976,101.859,103.257,100.00,99.15,101.99
,11 음식 및 숙박,63.254,65.454,67.363,68.508,69.850,73.903,76.384,77.315,82.142,81.697,81.976,83.232,85.469,87.623,91.712,94.757,97.894,100.00,102.51,110.97
,12 기타 상품 및 서비스,56.654,59.273,60.457,63.969,67.793,75.955,80.374,82.727,84.768,81.740,85.324,87.179,88.719,91.754,94.514,95.604,97.897,100.00,102.56,108.56
　　　충청북도,0 총지수,70.353,72.684,74.962,76.661,78.748,82.789,84.806,87.300,91.148,92.938,94.104,95.220,95.073,95.613,97.524,99.122,99.487,100.00,102.69,108.52
,01 식료품 및 비주류음료,55.298,59.472,60.722,60.925,63.192,66.405,71.430,75.606,82.812,85.477,86.084,86.817,87.893,90.092,92.756,95.651,96.058,100.00,105.91,112.28
,02 주류 및 담배,52.129,52.484,60.294,60.143,60.459,60.851,61.735,62.102,62.713,63.644,64.638,64.781,96.663,97.218,98.638,98.934,99.740,100.00,100.23,101.98
,03 의류 및 신발,68.016,68.165,68.702,70.541,72.390,74.246,78.014,80.316,82.799,86.706,89.651,93.290,94.647,96.353,97.338,98.488,99.112,100.00,100.53,103.69
,"04 주택, 수도, 전기 및 연료",73.440,75.839,78.516,81.257,82.363,86.288,85.647,87.769,91.659,94.901,98.214,100.441,97.266,95.370,96.772,97.875,99.506,100.00,102.14,109.79
,05 가정용품 및 가사 서비스,70.786,70.616,72.288,72.456,74.317,77.293,80.925,81.329,85.259,88.056,89.655,91.532,93.866,94.971,96.697,98.436,100.452,100.00,102.20,108.25
,06 보건,80.827,82.047,83.633,85.083,86.400,88.721,90.568,91.829,93.842,94.606,95.013,95.620,96.785,97.688,98.648,98.435,98.708,100.00,100.22,101.29
,07 교통,78.049,80.280,84.720,88.701,90.946,100.152,96.615,102.001,110.442,112.948,112.181,110.960,100.726,96.959,100.914,103.803,101.819,100.00,106.07,116.86
,08 통신,120.484,118.639,116.481,115.015,112.775,111.143,110.968,109.956,108.215,105.505,105.395,105.380,105.244,105.318,105.549,104.604,102.176,100.00,99.38,100.22
,09 오락 및 문화,94.040,94.016,94.504,92.559,90.921,92.339,94.725,95.701,96.858,97.289,98.557,98.730,98.259,100.246,100.430,100.916,100.827,100.00,100.31,102.81
,10 교육,68.856,71.807,75.234,78.406,84.097,89.407,91.086,92.743,94.837,96.120,96.391,97.332,98.219,99.249,100.209,101.324,102.002,100.00,100.99,102.72
,11 음식 및 숙박,63.339,66.002,68.036,69.827,71.987,75.905,78.802,81.042,83.892,85.945,87.927,89.266,90.915,92.700,95.554,98.352,98.900,100.00,102.50,109.97
,12 기타 상품 및 서비스,60.944,62.725,63.497,66.281,69.778,76.345,81.615,83.755,86.659,84.333,84.449,87.207,89.003,92.355,94.386,95.791,98.064,100.00,102.03,108.15
　　　　　　청주시,0 총지수,70.392,72.725,75.017,76.667,78.805,82.737,84.787,87.358,91.143,92.896,94.106,95.281,95.161,95.658,97.536,99.154,99.498,100.00,102.76,108.60
,01 식료품 및 비주류음료,55.222,59.420,60.372,60.805,63.226,66.331,71.106,75.619,83.062,85.451,86.184,86.972,88.030,90.142,92.756,95.754,96.103,100.00,105.76,112.25
